authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Tharanathan, R. N.",Central Food Technological Research Institute India,ind,154,1971,2022,"18,650","10,671",47,24.8262,4,"1,301",24,"2,993",135,"10,033",3.9937,"9,427",1.1320,147,3.41%,"21,354","11,048",49,25.6595,4,"1,312",24,"3,040",135,"10,390",3.9966,"9,557",1.1560,148,0,0,0,Food Science,0.4837,Polymers,0.1438,"Agriculture, Fisheries & Forestry",0.4902,80,69,"84,371"
"Rai, Mahendra",Sant Gadge Baba Amravati University,ind,434,2001,2024,"18,712","20,917",61,26.9060,3,63,133,"9,683",337,"17,402",3.9926,"16,360",1.2785,338,7.87%,"19,879","22,705",65,28.9025,3,64,133,"10,162",337,"18,796",4.0160,"16,846",1.3478,347,0,0,20,Nanoscience & Nanotechnology,0.1545,Biotechnology,0.1204,Enabling & Strategic Technologies,0.3953,265,249,"135,958"
"Yadav, Sudesh Kumar",Institute of Himalayan Bioresource Technology India,ind,187,2003,2024,"18,738","13,075",48,23.1464,5,"1,541",20,"2,604",158,"8,870",3.9921,"11,933",1.0957,177,4.24%,"21,324","13,654",50,23.8964,5,"1,542",20,"2,690",158,"9,287",3.9970,"12,210",1.1183,178,0,0,14,Plant Biology & Botany,0.1730,Biotechnology,0.1568,Enabling & Strategic Technologies,0.2919,233,197,"174,582"
"Sharma, Yogesh C.",Indian Institute of Technology (BHU) Varanasi,ind,195,1990,2024,"18,774","10,188",56,30.7095,7,373,53,"4,870",172,"9,228",3.9915,"8,845",1.1518,180,6.92%,"19,770","10,945",61,32.2429,7,396,53,"5,159",172,"9,917",4.0173,"9,127",1.1992,180,0,0,11,Energy,0.2010,Chemical Engineering,0.1856,Enabling & Strategic Technologies,0.3454,227,214,"313,936"
"Sarma, D. D.",Indian Institute of Science,ind,499,1980,2024,"19,013","16,457",67,31.3880,9,202,84,"2,769",319,"12,046",3.9880,"13,393",1.2288,443,15.05%,"17,271","19,372",73,34.7626,9,240,84,"3,211",319,"13,990",4.0534,"14,516",1.3345,456,0,0,8,Applied Physics,0.4096,General Physics,0.1245,Physics & Astronomy,0.7249,414,458,"304,738"
"Wood, David Muir","ICAR - Central Arid Zone Research Institute, Jodhpur",ind,174,1972,2023,"19,188","8,006",42,25.5583,38,"2,312",62,"3,429",140,"6,680",3.9853,"6,459",1.2395,146,10.25%,"20,418","8,920",46,26.2250,38,"2,365",62,"3,576",140,"7,362",4.0088,"6,812",1.3095,151,0,0,1,Geological & Geomatics Engineering,0.6437,Mechanical Engineering & Transports,0.0690,Engineering,0.8391,78,74,"69,076"
"Sahni, Varun",Inter-University Centre for Astronomy and Astrophysics India,ind,115,1980,2024,"19,712","10,550",43,22.7000,22,948,46,"6,637",75,"7,823",3.9781,"6,861",1.5377,103,7.18%,"21,579","11,366",44,23.8667,22,991,46,"7,057",75,"8,373",3.9936,"7,094",1.6022,104,0,0,0,Nuclear & Particle Physics,0.6522,Astronomy & Astrophysics,0.2435,Physics & Astronomy,0.9826,327,268,"151,105"
"Nagendra, Harini",Azim Premji University,ind,189,1997,2024,"20,131","10,355",48,25.6595,16,"1,209",49,"3,761",113,"5,899",3.9724,"8,888",1.1651,163,13.03%,"20,825","11,906",51,26.8838,16,"1,259",49,"4,139",113,"6,567",4.0036,"9,691",1.2286,167,0,0,1,Ecology,0.4086,Urban & Regional Planning,0.0699,Biology,0.5161,370,358,"69,645"
"Kulkarni, S. K.",University Institute of Pharmaceutical Sciences,ind,508,1972,2022,"20,220","13,112",61,39.0000,23,127,158,"3,273",475,"11,728",3.9711,"10,466",1.2528,437,10.18%,"19,943","14,598",65,41.5000,23,154,158,"3,622",475,"13,135",4.0153,"10,859",1.3443,446,0,0,20,Pharmacology & Pharmacy,0.5237,General & Internal Medicine,0.1364,Clinical Medicine,0.9111,146,145,"148,458"
"Agarwal, Ritesh","Postgraduate Institute of Medical Education & Research, Chandigarh",ind,624,2005,2024,"20,512","11,546",53,26.4010,17,497,161,"4,616",391,"7,725",3.9671,"8,592",1.3438,518,20.70%,"16,914","14,559",58,28.8988,17,622,161,"6,024",391,"10,024",4.0593,"9,272",1.5702,545,0,0,11,Respiratory System,0.3215,Microbiology,0.1576,Clinical Medicine,0.8023,163,199,"65,702"
"Chattaraj, Pratim Kumar","Birla Institute of Technology, Mesra",ind,474,1984,2024,"20,544","13,245",53,27.6000,12,207,103,"5,993",411,"11,625",3.9667,"7,978",1.6602,399,31.17%,"12,096","19,243",65,35.8750,12,294,103,"8,252",411,"16,644",4.1449,"8,755",2.1979,431,0,0,8,Chemical Physics,0.5302,Inorganic & Nuclear Chemistry,0.0884,Physics & Astronomy,0.6207,309,467,"106,831"
"Mittal, Alok",Maulana Azad National Institute of Technology,ind,84,1990,2024,"20,566","12,924",57,19.8961,3,461,36,"7,113",55,"8,303",3.9665,"7,807",1.6554,80,8.77%,"23,226","14,166",58,19.8961,3,475,36,"7,720",55,"8,968",3.9738,"8,213",1.7248,81,0,0,7,Chemical Engineering,0.2262,Chemical Physics,0.1905,Engineering,0.2500,92,77,"79,314"
"Kumar, Sandeep",Gurukula Kangri Vishwavidayalaya,ind,258,1985,2021,"20,951","9,832",54,27.4333,8,689,99,"4,382",149,"5,456",3.9615,"8,048",1.2217,242,12.47%,"20,045","11,233",59,30.3262,8,745,99,"4,920",149,"6,227",4.0138,"8,802",1.2762,245,0,0,13,Applied Physics,0.1868,Nanoscience & Nanotechnology,0.0856,Physics & Astronomy,0.2840,479,512,"304,738"
"Andrade, Chittaranjan",National Institute of Mental Health and Neuro Sciences,ind,554,1986,2024,"21,178","5,776",35,28.8167,257,"2,635",353,"3,941",527,"5,386",3.9585,"5,350",1.0796,420,13.79%,"19,095","6,700",39,31.7269,257,"3,109",353,"4,612",527,"6,213",4.0262,"5,720",1.1713,457,0,0,2,Psychiatry,0.5732,Neurology & Neurosurgery,0.0163,Clinical Medicine,0.9855,487,538,"80,339"
"Simon, R.",Institute of Mathematical Sciences India,ind,128,1977,2018,"21,314","6,862",40,23.6119,10,"2,075",51,"4,332",113,"6,454",3.9567,"5,181",1.3245,118,7.94%,"23,155","7,454",44,23.7786,10,"2,097",51,"4,579",113,"6,993",3.9745,"5,337",1.3967,122,0,0,0,Optics,0.2813,General Physics,0.2344,Physics & Astronomy,0.8984,112,94,"78,127"
"Pal, Mahesh",National Institute of Technology Kurukshetra,ind,92,2002,2024,"21,376","7,056",32,21.5667,18,"2,683",41,"6,148",82,"6,766",3.9560,"6,322",1.1161,81,4.29%,"24,083","7,372",33,22.7333,18,"2,719",41,"6,310",82,"7,049",3.9641,"6,457",1.1417,82,0,0,7,Geological & Geomatics Engineering,0.4396,Environmental Engineering,0.1648,Engineering,0.7363,97,85,"69,076"
"Kundu, Debasis",Indian Institute of Technology Kanpur,ind,326,1990,2024,"21,502","9,172",50,31.0000,31,543,112,"3,191",272,"8,245",3.9545,"4,866",1.8849,261,15.69%,"19,092","10,879",55,32.9500,31,715,112,"3,829",272,"9,631",4.0262,"5,314",2.0472,285,0,0,5,Statistics & Probability,0.7730,Networking & Telecommunications,0.0552,Mathematics & Statistics,0.8129,78,97,"22,428"
"Das, Debabrata",Indian Institute of Technology Kharagpur,ind,219,1983,2024,"21,557","11,559",54,31.5190,10,308,30,"3,016",181,"10,213",3.9538,"8,321",1.3891,200,8.82%,"23,032","12,677",56,33.5690,10,327,30,"3,154",181,"11,203",3.9761,"8,615",1.4715,204,0,0,7,Energy,0.3056,Biotechnology,0.2361,Enabling & Strategic Technologies,0.7130,259,236,"313,936"
"Yadav, Ganapati D.",Institute of Chemical Technology,ind,462,1979,2025,"22,091","10,746",48,35.8179,9,149,238,"6,333",431,"9,406",3.9467,"8,690",1.2366,419,23.88%,"13,893","14,118",60,43.3179,9,233,238,"8,946",431,"12,702",4.1112,"9,150",1.5430,427,0,0,7,Physical Chemistry,0.2338,Chemical Engineering,0.2316,Chemistry,0.4848,54,81,"40,704"
"Suthar, Surindra",Doon University,ind,135,2005,2024,"22,368","5,359",42,32.8857,35,"1,509",66,"3,297",116,"4,953",3.9432,"3,944",1.3588,119,6.80%,"23,770","5,750",45,33.8857,35,"1,671",66,"3,557",116,"5,312",3.9675,"4,056",1.4177,120,0,0,5,Environmental Sciences,0.3333,Environmental Engineering,0.1439,Earth & Environmental Sciences,0.3788,140,130,"115,291"
"Aggarwal, Rakesh",Jawaharlal Institute of Postgraduate Medical Education and Research,ind,335,1990,2024,"22,429","45,479",51,23.8443,24,470,97,"2,397",202,"4,370",3.9426,"41,452",1.0971,265,8.96%,"24,281","49,956",52,24.8217,24,497,97,"2,636",202,"4,774",3.9617,"44,491",1.1228,270,0,0,40,Gastroenterology & Hepatology,0.3743,General & Internal Medicine,0.0988,Clinical Medicine,0.8563,372,350,"103,730"
"Dandona, Lalit",Public Health Foundation of India,ind,354,1989,2024,"22,497","140,760",117,19.4108,13,26,69,"3,213",141,"5,968",3.9418,"120,908",1.1642,327,10.15%,"17,147","156,655",121,20.9731,13,69,69,"3,839",141,"6,830",4.0553,"129,211",1.2124,333,0,0,118,General & Internal Medicine,0.3107,Ophthalmology & Optometry,0.1497,Clinical Medicine,0.7684,237,333,"333,256"
"Tiwari, Aviral Kumar",Indian Institute of Management Bodh Gaya,ind,420,2010,2024,"22,509","10,826",51,31.2000,21,472,139,"3,641",256,"5,687",3.9417,"8,253",1.3118,371,10.45%,"22,133","12,089",54,33.9833,21,532,139,"4,101",256,"6,450",3.9869,"8,886",1.3605,381,0,0,17,Economics,0.3461,Energy,0.1742,Economics & Business,0.6062,173,194,"47,525"
"Khuroo, Mohammad S.",Sher-I-Kashmir Institute of Medical Sciences,ind,147,1974,2023,"22,690","7,047",47,22.0376,30,"1,015",99,"6,006",117,"6,433",3.9395,"5,207",1.3534,118,7.14%,"24,318","7,589",49,23.0633,30,"1,102",99,"6,443",117,"6,904",3.9613,"5,322",1.4260,125,0,0,3,Gastroenterology & Hepatology,0.3469,General & Internal Medicine,0.1769,Clinical Medicine,0.9116,373,353,"103,730"
"Goswami, B. N.",Cotton University,ind,197,1974,2024,"22,731","14,635",48,25.6148,11,396,53,"4,146",163,"8,157",3.9390,"10,952",1.3363,172,13.44%,"20,439","16,907",56,28.0952,11,455,53,"4,568",163,"9,674",4.0084,"11,669",1.4489,176,0,0,6,Meteorology & Atmospheric Sciences,0.7347,Geochemistry & Geophysics,0.0459,Earth & Environmental Sciences,0.8622,282,301,"75,072"
"Jangid, R. S.",Indian Institute of Technology Bombay,ind,172,1993,2024,"22,883","5,834",45,34.3333,25,"1,280",41,"2,255",160,"5,696",3.9370,"3,536",1.6499,153,9.76%,"22,799","6,465",51,35.9167,25,"1,390",41,"2,504",160,"6,294",3.9790,"3,704",1.7454,157,0,0,1,Civil Engineering,0.5291,"Strategic, Defence & Security Studies",0.1628,Engineering,0.5640,43,38,"57,831"
"Dash, Pradipta Kishore",Siksha O Anusandhan (Deemed to be University),ind,472,1969,2024,"22,996","10,889",57,33.8167,11,187,160,"3,950",327,"8,157",3.9355,"8,412",1.2945,377,7.99%,"25,033","11,835",58,35.4833,11,202,160,"4,221",327,"8,854",3.9531,"8,860",1.3358,391,0,0,16,Energy,0.4597,Artificial Intelligence & Image Processing,0.2246,Enabling & Strategic Technologies,0.4661,285,253,"313,936"
"Salvi, Sundeep",Pulmocare Research and Education (PURE) Foundation,ind,231,1994,2024,"23,378","30,501",52,19.3236,14,584,54,"3,647",99,"4,686",3.9314,"28,138",1.0840,193,12.40%,"25,074","34,820",55,19.7245,14,600,54,"3,971",99,"5,073",3.9527,"31,075",1.1205,196,0,0,30,Respiratory System,0.3333,General & Internal Medicine,0.1472,Clinical Medicine,0.8485,236,224,"65,702"
"Priyadarsini, Indira K.",University of Mumbai,ind,234,1988,2024,"23,600","11,065",47,21.4699,5,"1,539",47,"2,813",123,"5,414",3.9288,"9,223",1.1997,219,11.04%,"24,553","12,438",51,22.8235,5,"1,559",47,"2,925",123,"6,057",3.9587,"9,694",1.2831,221,0,0,11,Chemical Physics,0.2222,Biochemistry & Molecular Biology,0.1239,Chemistry,0.2863,591,527,"106,831"
"Senthil Kumar, P.",Pondicherry University,ind,769,2008,2024,"24,105","21,296",69,35.4640,6,81,91,"3,766",188,"5,357",3.9233,"17,786",1.1973,677,12.01%,"22,859","24,204",75,37.7441,6,102,91,"4,241",188,"6,107",3.9783,"18,705",1.2940,692,0,0,12,Environmental Sciences,0.3046,Chemical Engineering,0.1464,Earth & Environmental Sciences,0.3412,129,142,"115,291"
"Biradha, Kumar",Indian Institute of Technology Kharagpur,ind,212,1993,2024,"24,207","11,262",50,27.0765,5,346,42,"4,148",166,"7,748",3.9221,"9,274",1.2144,201,12.58%,"23,576","12,882",53,30.5027,5,375,42,"4,500",166,"8,764",3.9698,"9,943",1.2956,204,0,0,1,Inorganic & Nuclear Chemistry,0.4575,Organic Chemistry,0.2689,Chemistry,0.9198,156,141,"75,463"
"Sarkar, Jahar",Indian Institute of Technology (BHU) Varanasi,ind,147,2004,2024,"24,697","6,098",40,27.1000,27,"1,471",54,"3,692",98,"5,146",3.9162,"4,672",1.3052,138,8.75%,"25,820","6,683",43,28.9333,27,"1,542",54,"3,904",98,"5,575",3.9448,"4,852",1.3774,141,0,0,2,Mechanical Engineering & Transports,0.4014,Energy,0.3537,Engineering,0.4490,176,149,"143,311"
"Roy, Kunal",Jadavpur University,ind,426,1998,2024,"24,725","10,317",45,29.5167,24,308,126,"3,995",358,"9,267",3.9159,"6,393",1.6138,367,25.69%,"17,041","13,883",51,36.2833,24,420,126,"5,638",358,"12,366",4.0571,"6,940",2.0004,387,0,0,5,Medicinal & Biomolecular Chemistry,0.2600,Pharmacology & Pharmacy,0.0922,Chemistry,0.4681,55,71,"105,998"
"Chakrabarti, Arunaloke",Doodhadhari Burfani Hospital,ind,482,1983,2024,"24,829","16,566",61,27.9107,13,166,84,"3,392",240,"7,719",3.9144,"11,087",1.4942,444,19.86%,"23,153","20,672",67,30.2810,13,173,84,"3,977",240,"9,257",3.9746,"12,439",1.6619,452,0,0,16,Microbiology,0.6286,Respiratory System,0.0353,Biomedical Research,0.7095,578,618,"204,759"
"Ramaswamy, Sriram",Indian Institute of Science,ind,171,1979,2024,"26,010","10,917",40,21.9286,15,"1,679",38,"2,454",116,"5,446",3.9011,"6,821",1.6005,147,8.51%,"27,387","11,932",42,23.8548,15,"1,719",38,"2,593",116,"5,976",3.9286,"7,105",1.6794,151,0,0,0,Fluids & Plasmas,0.3977,General Physics,0.3158,Physics & Astronomy,0.9415,222,202,"52,450"
"Singh, Girish Kumar",Indian Institute of Technology Roorkee,ind,279,1991,2024,"26,390","6,602",39,24.4333,12,"1,676",46,"2,848",221,"5,832",3.8972,"5,437",1.2143,225,18.93%,"23,560","8,144",45,27.3833,12,"1,787",46,"3,124",221,"7,111",3.9700,"5,798",1.4046,250,0,0,7,Electrical & Electronic Engineering,0.1971,Energy,0.1900,Information & Communication Technologies,0.3692,61,63,"119,204"
"Sathish, T.",Saveetha School of Engineering,ind,261,2014,2024,"26,442","6,608",54,27.8750,15,727,110,"3,098",161,"4,523",3.8968,"2,147",3.0778,213,25.19%,"18,979","8,833",63,30.2321,15,"1,074",110,"4,342",161,"6,319",4.0276,"2,473",3.5718,222,11,473,66,Materials,0.3793,Energy,0.1609,Enabling & Strategic Technologies,0.6322,241,322,"299,561"
"Kamal, Ahmed","Birla Institute of Technology and Science, Pilani",ind,577,1980,2024,"26,664","13,052",52,29.0502,6,51,359,"9,214",513,"11,930",3.8942,"10,076",1.2954,557,21.07%,"22,031","16,537",59,33.8081,6,55,359,"11,708",513,"15,071",3.9880,"10,778",1.5343,561,1,0,8,Medicinal & Biomolecular Chemistry,0.4281,Organic Chemistry,0.4090,Chemistry,0.9185,69,78,"105,998"
"Bhattacharyya, Kankan",Indian Institute of Science Education and Research Bhopal,ind,273,1980,2022,"26,906","9,151",46,27.2536,14,789,44,"1,781",221,"7,519",3.8916,"5,761",1.5884,253,18.56%,"23,348","11,237",54,30.7298,14,866,44,"1,988",221,"9,255",3.9723,"6,149",1.8275,257,0,0,1,Chemical Physics,0.7169,General Chemistry,0.0588,Physics & Astronomy,0.7684,570,593,"106,831"
"Basu, Bikramjit",Indian Institute of Science,ind,367,1998,2024,"27,307","11,193",55,31.9845,3,271,44,"1,930",264,"7,529",3.8875,"9,258",1.2090,349,17.73%,"24,247","13,606",60,36.4440,3,296,44,"2,339",264,"9,223",3.9621,"9,948",1.3677,352,1,177,8,Materials,0.4740,Biomedical Engineering,0.2329,Enabling & Strategic Technologies,0.5973,302,335,"299,561"
"Singh, J. S.",Banaras Hindu University,ind,197,1975,2024,"27,450","8,870",53,31.3310,6,292,26,"2,326",183,"8,078",3.8860,"7,004",1.2664,189,8.87%,"29,966","9,733",55,32.9977,6,298,26,"2,457",183,"8,803",3.9034,"7,291",1.3349,191,0,0,49,Ecology,0.3316,Plant Biology & Botany,0.2500,Biology,0.6020,536,487,"69,645"
"Bandyopadhyay, Sanghamitra","Indian Statistical Institute, Kolkata",ind,330,1995,2023,"27,896","11,124",47,27.9000,10,234,70,"3,794",242,"8,184",3.8814,"8,856",1.2561,272,14.23%,"27,256","12,969",50,29.5167,10,253,70,"4,531",242,"9,697",3.9299,"9,376",1.3832,291,0,0,14,Artificial Intelligence & Image Processing,0.4907,Bioinformatics,0.1574,Information & Communication Technologies,0.6265,542,582,"399,064"
"Das, Ashok Kumar","International Institute of Information Technology, Hyderabad",ind,341,2005,2024,"28,085","11,569",63,31.3429,17,573,50,"1,760",92,"2,563",3.8798,"7,160",1.6158,304,20.52%,"20,866","14,555",72,35.8774,17,811,50,"2,401",92,"3,412",4.0031,"7,668",1.8981,314,0,0,42,Networking & Telecommunications,0.5164,Artificial Intelligence & Image Processing,0.1194,Information & Communication Technologies,0.7821,162,230,"206,482"
"Lakshmanan, M.",Bharathidasan University,ind,423,1972,2024,"28,097","8,673",46,31.8667,19,547,66,"1,573",376,"7,634",3.8796,"5,883",1.4742,371,20.09%,"24,137","10,854",54,36.4000,19,589,66,"1,761",376,"9,510",3.9634,"6,376",1.7023,383,0,0,5,Fluids & Plasmas,0.3943,Mathematical Physics,0.2399,Physics & Astronomy,0.9145,196,223,"52,450"
"Samanta, Anunay",University of Hyderabad,ind,210,1983,2023,"28,272","10,202",55,30.9893,4,499,30,902,187,"8,984",3.8776,"7,046",1.4479,195,12.41%,"27,905","11,648",60,33.3560,4,537,30,"1,029",187,"10,051",3.9234,"7,542",1.5444,198,0,0,3,Chemical Physics,0.5000,Nanoscience & Nanotechnology,0.1048,Physics & Astronomy,0.5238,666,623,"106,831"
"Mishra, Sukumar",Indian Institute of Technology Delhi,ind,462,1995,2024,"28,417","9,739",49,27.7429,8,590,44,"2,031",318,"5,731",3.8760,"8,129",1.1981,358,11.20%,"30,104","10,967",52,28.9095,8,613,44,"2,166",318,"6,446",3.9022,"8,814",1.2443,388,0,0,14,Electrical & Electronic Engineering,0.4208,Energy,0.3753,Engineering,0.4837,74,65,"119,204"
"Rajendran, Chandrasekharan",Indian Institute of Technology Madras,ind,190,1990,2024,"28,521","7,553",51,31.7000,6,599,22,"1,907",117,"4,951",3.8749,"5,502",1.3728,176,6.07%,"31,949","8,041",51,32.5333,6,664,22,"2,029",117,"5,286",3.8846,"5,670",1.4182,177,0,0,4,Operations Research,0.4895,Business & Management,0.1789,Engineering,0.6263,101,92,"29,481"
"Jayakumar, R.","Amrita Vishwa Vidyapeetham University, Kochi",ind,351,2000,2024,"28,554","23,360",78,31.9480,3,6,57,"6,641",262,"19,892",3.8745,"17,114",1.3650,301,8.19%,"30,594","25,445",83,34.0421,3,6,57,"7,158",262,"21,610",3.8969,"17,600",1.4457,303,3,747,37,Polymers,0.4114,Nanoscience & Nanotechnology,0.1171,Chemistry,0.5829,290,241,"116,445"
"Sana, Shib Sankar",Kishore Bharati Bhagini Nivedita College,ind,184,2004,2024,"28,698","5,584",41,30.4167,25,"1,462",43,"2,138",137,"4,019",3.8732,"3,182",1.7549,174,14.60%,"26,505","6,539",47,33.5833,25,"1,619",43,"2,396",137,"4,611",3.9376,"3,452",1.8943,175,0,0,6,Operations Research,0.3923,Business & Management,0.0939,Engineering,0.5304,80,95,"29,481"
"Singh, V. K.",Indian Institute of Technology Kanpur,ind,369,1986,2024,"28,751","13,731",58,32.7814,5,296,44,786,271,"9,757",3.8727,"11,652",1.1784,305,8.73%,"30,393","15,044",62,35.3231,5,298,44,847,271,"10,533",3.8990,"12,218",1.2313,315,0,0,7,Organic Chemistry,0.5041,Plant Biology & Botany,0.0681,Chemistry,0.6104,620,555,"170,049"
"Singh, Kunwar Pal",Singh Simutech Pvt. Ltd.,ind,179,1985,2023,"28,760","12,035",47,23.3583,8,136,91,"7,167",134,"9,810",3.8725,"10,755",1.1190,163,5.98%,"30,241","12,801",49,24.8917,8,157,91,"7,655",134,"10,445",3.9007,"10,986",1.1652,168,0,0,13,Environmental Sciences,0.2570,Fluids & Plasmas,0.1229,Earth & Environmental Sciences,0.2682,173,164,"115,291"
"Mukherjee, Pulok Kumar",Institute of Bioresources and Sustainable Development,ind,303,1995,2024,"28,884","9,834",51,24.2479,15,220,107,"5,074",200,"7,659",3.8713,"8,511",1.1554,263,12.68%,"25,986","11,262",55,26.2288,15,322,107,"5,733",200,"8,713",3.9428,"8,874",1.2691,275,0,0,2,Medicinal & Biomolecular Chemistry,0.3670,Pharmacology & Pharmacy,0.1077,Chemistry,0.5690,79,85,"105,998"
"Nidheesh, P. V.",National Environmental Engineering Research Institute India,ind,160,2011,2024,"29,015","8,078",48,22.6635,3,523,45,"4,049",110,"6,215",3.8699,"6,550",1.2333,148,15.35%,"26,434","9,543",52,25.5813,3,599,45,"4,756",110,"7,298",3.9385,"6,746",1.4146,151,0,0,3,Environmental Sciences,0.3875,Chemical Engineering,0.2313,Earth & Environmental Sciences,0.4188,154,169,"115,291"
"Balaram, Padmanabhan",National Centre for Biological Sciences,ind,680,1972,2024,"29,338","11,789",49,28.2547,210,606,216,781,618,"10,429",3.8666,"7,614",1.5483,567,19.45%,"24,265","14,636",59,33.7464,210,664,216,844,618,"13,033",3.9619,"8,086",1.8100,573,0,0,1,Biophysics,0.2050,Biochemistry & Molecular Biology,0.1917,Biomedical Research,0.4130,45,49,"19,888"
"Pradeep, Thalappil",Indian Institute of Technology Madras,ind,619,1988,2024,"29,868","24,825",71,38.5258,11,20,57,"1,248",494,"20,872",3.8614,"19,637",1.2642,537,14.05%,"28,109","28,882",79,42.8048,11,22,57,"1,429",494,"24,129",3.9214,"20,585",1.4031,557,0,0,19,Nanoscience & Nanotechnology,0.1990,Chemical Physics,0.1521,Chemistry,0.4256,345,355,"135,958"
"Ghosh, Aswini",Indian Association for the Cultivation of Science,ind,284,1967,2024,"30,020","5,673",40,29.9833,21,"1,106",54,"1,909",249,"5,523",3.8600,"3,818",1.4859,243,13.24%,"30,760","6,539",43,30.8167,21,"1,191",54,"2,123",249,"6,337",3.8955,"4,085",1.6007,248,0,0,2,Applied Physics,0.4296,Fluids & Plasmas,0.1408,Physics & Astronomy,0.7606,776,746,"304,738"
"Rastogi, Navin Kumar",Central Food Technological Research Institute India,ind,165,1994,2024,"30,038","7,226",47,28.5917,18,576,45,"2,745",104,"4,757",3.8599,"5,922",1.2202,155,9.88%,"30,969","8,018",51,29.7250,18,608,45,"3,108",104,"5,285",3.8934,"6,190",1.2953,157,0,0,1,Food Science,0.4601,Biotechnology,0.1350,"Agriculture, Fisheries & Forestry",0.5828,120,119,"84,371"
"Sastry, Srikanth",Jawaharlal Nehru Centre for Advanced Scientific Research,ind,152,1990,2024,"30,351","7,275",41,22.7122,18,956,34,"3,227",106,"5,452",3.8570,"5,108",1.4242,136,16.63%,"29,453","8,726",45,24.0288,18,"1,030",34,"3,632",106,"6,382",3.9078,"5,568",1.5672,140,0,0,1,Chemical Physics,0.2980,Fluids & Plasmas,0.2914,Physics & Astronomy,0.8940,699,669,"106,831"
